id,date,primary_type,latitude,longitude,community_area,lat,lon,cluster,rank,tipo_ponto
27710,2023-08-22T21:41:00.000,HOMICIDE,41.763254979,-87.5951877,69,41.763254979,-87.5951877,2,1,top 1
27712,2023-08-22T20:09:00.000,HOMICIDE,41.860199469,-87.711584612,29,41.860199469,-87.711584612,1,2,top 2
27709,2023-08-22T11:57:00.000,HOMICIDE,41.814874557,-87.613722091,38,41.814874557,-87.613722091,2,1,top 1
27708,2023-08-21T23:50:00.000,HOMICIDE,41.859926121,-87.71279867,29,41.859926121,-87.71279867,1,2,top 2
27707,2023-08-21T01:28:00.000,HOMICIDE,41.682485933,-87.637229959,53,41.682485933,-87.637229959,2,1,top 1
27706,2023-08-20T23:24:00.000,HOMICIDE,41.874503455,-87.713788588,27,41.874503455,-87.713788588,1,2,top 2
27705,2023-08-20T04:03:00.000,HOMICIDE,41.896712809,-87.637174687,8,41.896712809,-87.637174687,7,4,top 4
27704,2023-08-19T20:42:00.000,HOMICIDE,41.735821248,-87.580546071,48,41.735821248,-87.580546071,2,1,top 1
27703,2023-08-19T17:15:00.000,HOMICIDE,41.912641265,-87.767706357,25,41.912641265,-87.767706357,1,2,top 2
27702,2023-08-19T02:40:00.000,HOMICIDE,41.731274546,-87.649570024,73,41.731274546,-87.649570024,2,1,top 1
27701,2023-08-18T22:27:00.000,HOMICIDE,41.884573974,-87.734840377,26,41.884573974,-87.734840377,1,2,top 2
